ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ckifh6jt700003a685tbvmm50,ckifh24r527fe0rc61zf5h6v9,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Fb4fca1ec-ec7d-1303-4560-6c32ecefb84b-Y22.jpg?Expires=1608614264584&KeyName=labelbox-assets-key-1&Signature=49B-UDsUVzlmCC2wkuMFjqGWWJM,"{""objects"":[{""featureId"":""ckifh6hl200kv0ybmds854jm3"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifh6hl200kv0ybmds854jm3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401215000,1607401261000,21.992,Y22.jpg,-1,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifh6jt700003a685tbvmm50
ckifh77ak00013a68x1jewc2n,ckifh24r627iy0rc6ajrobkq0,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2F303ee3c3-d558-dc71-9382-139352c90701-Y56.jpg?Expires=1608614264594&KeyName=labelbox-assets-key-1&Signature=pO6UFz_rZdYTYPwfNwRQD04NJB8,"{""objects"":[{""featureId"":""ckifh75qe00n30ybm2l14dqa3"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifh75qe00n30ybm2l14dqa3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401250000,1607401262318,6.909,Y56.jpg,,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifh77ak00013a68x1jewc2n
ckifh7ypq00023a68igxgvivk,ckifh24r827mi0rc6d4vi08ir,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Fb3ceece8-e0cd-25b7-5204-5d4d7bdbbf9b-Y99.JPG?Expires=1608614264595&KeyName=labelbox-assets-key-1&Signature=AlcbMi305a9yeOLNwZv-8De7NpM,"{""objects"":[{""featureId"":""ckifh7le301iu0yapct08bq2y"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifh7le301iu0yapct08bq2y?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401281000,1607401382323,33.501999999999995,Y99.JPG,,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifh7ypq00023a68igxgvivk
ckifha5z400033a68ecwh5h1u,ckifh24r927q20rc63lga8l66,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Fa5820f00-5b5b-e593-1460-05f84e08f917-Y163.JPG?Expires=1608614264596&KeyName=labelbox-assets-key-1&Signature=qH5mVmop28BQur9zkJwLeX_q1d4,"{""objects"":[{""featureId"":""ckifh8b6v01tp0y8t1i66a5w4"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifh8b6v01tp0y8t1i66a5w4?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401384000,1607401501000,112.003,Y163.JPG,-1,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifha5z400033a68ecwh5h1u
ckifhbs1j00043a68jto0kk8f,ckifh24ra27tm0rc6djgs2ca3,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2F9bbe3094-8915-0a07-b6cf-2019640d4ccd-Y253.JPG?Expires=1608614264597&KeyName=labelbox-assets-key-1&Signature=22xA5kK5ZdSK23yipHrQ36Kf0sc,"{""objects"":[{""featureId"":""ckifhb2ar012v0ybm5m74hugp"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifhb2ar012v0ybm5m74hugp?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401472000,1607401508320,81.866,Y253.JPG,,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifhbs1j00043a68jto0kk8f
ckifhcdr300053a68cjqmbb4a,ckifh24r527fq0rc6cf6m1cyp,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Faf14063f-d0bf-30ca-718e-ec6bacec593a-Y25.jpg?Expires=1608614264598&KeyName=labelbox-assets-key-1&Signature=CnpDwdr26tdAT3i6_4aQOd9U1ng,"{""objects"":[{""featureId"":""ckifhcclx026m0ybteihn3lhq"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifhcclx026m0ybteihn3lhq?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401487000,1607401510000,14.542,Y25.jpg,-1,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifhcdr300053a68cjqmbb4a
ckifhcubh00063a68torb7yaj,ckifh24r627ja0rc603vpgqos,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2F6b878131-89c5-c76e-c841-16601041acb0-Y60.jpg?Expires=1608614264599&KeyName=labelbox-assets-key-1&Signature=1R8Zeqzhaz7JTZsH2KUY6yKC4AI,"{""objects"":[{""featureId"":""ckifhcs5i028r0yco6jajg57e"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifhcs5i028r0yco6jajg57e?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401509000,1607401632000,13.908,Y60.jpg,-1,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifhcubh00063a68torb7yaj
ckifhd92x00073a68uyqk0kwh,ckifh24r827mu0rc60y0chrc4,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Fd3803e1d-5365-8938-1797-d4b5384fa233-Y102.jpg?Expires=1608614264601&KeyName=labelbox-assets-key-1&Signature=a-FTbZtqhoJc7PYkrBLTUzpkwYs,"{""objects"":[{""featureId"":""ckifhd7ok02ag0ycocuhng4e8"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifhd7ok02ag0ycocuhng4e8?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401528000,1607401633373,18.31,Y102.jpg,,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifhd92x00073a68uyqk0kwh
ckifhdi4j00083a68jnutgipq,ckifh24r927qe0rc6c1h44zed,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Ff68467b0-8f78-937d-1774-0a6f0b85ca2c-Y166.JPG?Expires=1608614264601&KeyName=labelbox-assets-key-1&Signature=HbEY3DT_V8kd1ndIS0uppXHyrYQ,"{""objects"":[{""featureId"":""ckifhdgy201ax0ybmaeoa0dc2"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifhdgy201ax0ybmaeoa0dc2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401540000,1607401634000,6.468,Y166.JPG,-1,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifhdi4j00083a68jnutgipq
ckifhdvq300093a6817q84dse,ckifh24ra27ty0rc67cedfzgx,https://storage.labelbox.com/cki91q3az4u150806veuclsco%2Ff4bc4c61-79eb-f022-ba39-5109571d0683-Y256.JPG?Expires=1608614264602&KeyName=labelbox-assets-key-1&Signature=MDCL-Jno8VsW3Q5MOOWxwvDKcd8,"{""objects"":[{""featureId"":""ckifhduf502cj0ycocebe1otj"",""schemaId"":""ckifh5l6p01hb0ybtf38e7rot"",""title"":""tumor"",""value"":""tumor"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckifhduf502cj0ycocebe1otj?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2k5MXEzYmg2YWRmMDg1OG56MmJiaTY2Iiwib3JnYW5pemF0aW9uSWQiOiJja2k5MXEzYXo0dTE1MDgwNnZldWNsc2NvIiwiaWF0IjoxNjA3NDA0NjY0LCJleHAiOjE2MDk5OTY2NjR9.-gUAJHv3Eba7m1T06VaIMo0feXvfZJI6g5OXTHTHpGY""}],""classifications"":[]}",anniejoshi2000@gmail.com,Brain Tumor,1607401558000,1607401635105,10.889,Y256.JPG,,-1,,,TUMORS,[],https://editor.labelbox.com?project=ckifgyy6foss20841ithcei8f&label=ckifhdvq300093a6817q84dse
